[0807/133020.115:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x433400b88600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/133020.176:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x433400b88600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/133024.153:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x43bc001c1400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/133024.227:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x43bc001c1400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/133024.265:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x43bc001c1400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/133024.287:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x43bc001c1400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/133024.884:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2854001b1400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/133024.935:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2854001b1400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/133024.976:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2854001b1400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/133024.999:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x2854001b1400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/133231.408:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x25c400b10c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/133231.834:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x25c400b10c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/133231.971:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x25c400b10c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/133232.000:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x25c400b10c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/133232.261:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x200c00ae4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/133232.371:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x200c00ae4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/133232.414:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x200c00ae4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/133232.436:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x200c00ae4200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0807/133235.671:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x44fc00bc0000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0807/133235.903:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x44fc00bc0000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
